Title,Duration,Genre,Released,Link
There Will Be Blood ,2h 38min,Drama,"25 January 2008 (USA)
",https://www.imdb.com/title/tt0469494/
V for Vendetta ,2h 12min,Action,"17 March 2006 (USA)
",https://www.imdb.com/title/tt0434409/
Memories of Murder ,2h 12min,Action,"2 May 2003 (South Korea)
",https://www.imdb.com/title/tt0353969/
Up ,1h 36min,Animation,"29 May 2009 (USA)
",https://www.imdb.com/title/tt1049413/
The Wolf of Wall Street ,3h,Biography,"25 December 2013 (USA)
",https://www.imdb.com/title/tt0993846/
Million Dollar Baby ,2h 12min,Drama,"28 January 2005 (USA)
",https://www.imdb.com/title/tt0405159/
Kill Bill: Vol. 1 ,1h 51min,Action,"10 October 2003 (USA)
",https://www.imdb.com/title/tt0266697/
Hotel Rwanda ,2h 1min,Biography,"4 February 2005 (USA)
",https://www.imdb.com/title/tt0395169/
Shutter Island ,2h 18min,Mystery,"19 February 2010 (USA)
",https://www.imdb.com/title/tt1130884/
How to Train Your Dragon ,1h 38min,Animation,"26 March 2010 (USA)
",https://www.imdb.com/title/tt0892769/
Finding Nemo ,1h 40min,Animation,"30 May 2003 (USA)
",https://www.imdb.com/title/tt0266543/
No Country for Old Men ,2h 2min,Crime,"21 November 2007 (USA)
",https://www.imdb.com/title/tt0477348/
Gran Torino ,1h 56min,Drama,"9 January 2009 (USA)
",https://www.imdb.com/title/tt1205489/
Into the Wild ,2h 28min,Adventure,"19 October 2007 (USA)
",https://www.imdb.com/title/tt0758758/
Mary and Max ,1h 32min,Animation,"9 April 2009 (Australia)
",https://www.imdb.com/title/tt0978762/
Hachi: A Dog's Tale ,1h 33min,Drama,"12 March 2010 (UK)
",https://www.imdb.com/title/tt1028532/
Ford v Ferrari ,2h 32min,Action,"15 November 2019 (USA)
",https://www.imdb.com/title/tt1950186/
Prisoners ,2h 33min,Crime,"20 September 2013 (USA)
",https://www.imdb.com/title/tt1392214/
Harry Potter and the Deathly Hallows: Part 2 ,2h 10min,Adventure,"15 July 2011 (USA)
",https://www.imdb.com/title/tt1201607/
Hacksaw Ridge ,2h 19min,Biography,"4 November 2016 (USA)
",https://www.imdb.com/title/tt2119532/
Mad Max: Fury Road ,2h,Action,"15 May 2015 (USA)
",https://www.imdb.com/title/tt1392190/
Rush ,2h 3min,Biography,"27 September 2013 (USA)
",https://www.imdb.com/title/tt1979320/
Spotlight ,2h 9min,Biography,"20 November 2015 (USA)
",https://www.imdb.com/title/tt1895587/
PK ,2h 33min,Comedy,"19 December 2014 (India)
",https://www.imdb.com/title/tt2338151/
12 Years a Slave ,2h 14min,Biography,"8 November 2013 (USA)
",https://www.imdb.com/title/tt2024544/
Inside Out ,1h 35min,Animation,"19 June 2015 (USA)
",https://www.imdb.com/title/tt2096673/
Gone Girl ,2h 29min,Drama,"3 October 2014 (USA)
",https://www.imdb.com/title/tt2267998/
Before Sunset ,1h 20min,Drama,"30 July 2004 (USA)
",https://www.imdb.com/title/tt0381681/
Aladdin ,1h 30min,Animation,"25 November 1992 (USA)
",https://www.imdb.com/title/tt0103639/
The Grand Budapest Hotel ,1h 39min,Adventure,"28 March 2014 (USA)
",https://www.imdb.com/title/tt2278388/
The Passion of Joan of Arc ,1h 54min,Biography,"25 October 1928 (France)
",https://www.imdb.com/title/tt0019254/
The Terminator ,1h 47min,Action,"26 October 1984 (USA)
",https://www.imdb.com/title/tt0088247/
The General ,1h 7min,Action,"2 January 1927 (USA)
",https://www.imdb.com/title/tt0017925/
The Circus ,1h 12min,Comedy,"29 January 1928 (Canada)
",https://www.imdb.com/title/tt0018773/
"Monsters, Inc. ",1h 32min,Animation,"2 November 2001 (USA)
",https://www.imdb.com/title/tt0198781/
Mr. Smith Goes to Washington ,2h 9min,Comedy,"19 October 1939 (USA)
",https://www.imdb.com/title/tt0031679/
The Help ,2h 26min,Drama,"10 August 2011 (USA)
",https://www.imdb.com/title/tt1454029/
Gone with the Wind ,3h 58min,Drama,"17 January 1940 (USA)
",https://www.imdb.com/title/tt0031381/
The Wages of Fear ,2h 11min,Adventure,"16 February 1955 (USA)
",https://www.imdb.com/title/tt0046268/
It Happened One Night ,1h 45min,Comedy,"22 February 1934 (USA)
",https://www.imdb.com/title/tt0025316/
Rebecca ,2h 10min,Drama,"12 April 1940 (USA)
",https://www.imdb.com/title/tt0032976/
The Third Man ,1h 33min,Film-Noir,"12 October 1949 (France)
",https://www.imdb.com/title/tt0041959/
On the Waterfront ,1h 48min,Crime,"22 June 1954 (Japan)
",https://www.imdb.com/title/tt0047296/
Throne of Blood ,1h 50min,Drama,"22 November 1961 (USA)
",https://www.imdb.com/title/tt0050613/
Ben-Hur ,3h 32min,Adventure,"29 January 1960 (Brazil)
",https://www.imdb.com/title/tt0052618/
The Bridge on the River Kwai ,2h 41min,Adventure,"14 December 1957 (USA)
",https://www.imdb.com/title/tt0050212/
The 400 Blows ,1h 39min,Crime,"16 November 1959 (USA)
",https://www.imdb.com/title/tt0053198/
The Battle of Algiers ,2h 1min,Drama,"20 September 1967 (USA)
",https://www.imdb.com/title/tt0058946/
Persona ,1h 23min,Drama,"16 March 1967 (USA)
",https://www.imdb.com/title/tt0060827/
Andrei Rublev ,3h 25min,Biography,"October 1973 (USA)
",https://www.imdb.com/title/tt0060107/
The Deer Hunter ,3h 3min,Drama,"23 February 1979 (USA)
",https://www.imdb.com/title/tt0077416/
Cool Hand Luke ,2h 7min,Crime,"1 November 1967 (USA)
",https://www.imdb.com/title/tt0061512/
Barry Lyndon ,3h 5min,Adventure,"18 December 1975 (USA)
",https://www.imdb.com/title/tt0072684/
Network ,2h 1min,Drama,"27 November 1976 (USA)
",https://www.imdb.com/title/tt0074958/
Monty Python's Life of Brian ,1h 34min,Comedy,"17 August 1979 (USA)
",https://www.imdb.com/title/tt0079470/
Fanny and Alexander ,3h 8min,Drama,"17 December 1982 (Sweden)
",https://www.imdb.com/title/tt0083922/
The Elephant Man ,2h 4min,Biography,"10 October 1980 (USA)
",https://www.imdb.com/title/tt0080678/
The Thing ,1h 49min,Horror,"25 June 1982 (USA)
",https://www.imdb.com/title/tt0084787/
Blade Runner ,1h 57min,Action,"25 June 1982 (USA)
",https://www.imdb.com/title/tt0083658/
Platoon ,2h,Drama,"6 February 1987 (USA)
",https://www.imdb.com/title/tt0091763/
"Paris, Texas ",2h 25min,Drama,"23 August 1984 (UK)
",https://www.imdb.com/title/tt0087884/
Nausicaä of the Valley of the Wind ,1h 57min,Animation,"25 November 1987 (USA)
",https://www.imdb.com/title/tt0087544/
Stand by Me ,1h 29min,Adventure,"26 November 1986 (USA)
",https://www.imdb.com/title/tt0092005/
The Princess Bride ,1h 38min,Adventure,"9 October 1987 (USA)
",https://www.imdb.com/title/tt0093779/
Dead Poets Society ,2h 8min,Comedy,"9 June 1989 (USA)
",https://www.imdb.com/title/tt0097165/
In the Name of the Father ,2h 13min,Biography,"25 February 1994 (USA)
",https://www.imdb.com/title/tt0107207/
Jurassic Park ,2h 7min,Action,"11 June 1993 (USA)
",https://www.imdb.com/title/tt0107290/
La Haine ,1h 38min,Crime,"23 February 1996 (USA)
",https://www.imdb.com/title/tt0113247/
Before Sunrise ,1h 41min,Drama,"27 January 1995 (USA)
",https://www.imdb.com/title/tt0112471/
Fargo ,1h 38min,Crime,"5 April 1996 (USA)
",https://www.imdb.com/title/tt0116282/
Trainspotting ,1h 33min,Drama,"9 August 1996 (USA)
",https://www.imdb.com/title/tt0117951/
The Sixth Sense ,1h 47min,Drama,"6 August 1999 (USA)
",https://www.imdb.com/title/tt0167404/
Catch Me If You Can ,2h 21min,Biography,"25 December 2002 (USA)
",https://www.imdb.com/title/tt0264464/
Amores Perros ,2h 34min,Drama,"13 April 2001 (USA)
",https://www.imdb.com/title/tt0245712/
The Truman Show ,1h 43min,Comedy,"5 June 1998 (USA)
",https://www.imdb.com/title/tt0120382/
The Big Lebowski ,1h 57min,Comedy,"6 March 1998 (USA)
",https://www.imdb.com/title/tt0118715/
Wild Tales ,2h 2min,Comedy,"21 August 2014 (Argentina)
",https://www.imdb.com/title/tt3011894/
In the Mood for Love ,1h 38min,Drama,"9 March 2001 (USA)
",https://www.imdb.com/title/tt0118694/
Rocky ,2h,Drama,"3 December 1976 (USA)
",https://www.imdb.com/title/tt0075148/
Logan ,2h 17min,Action,"3 March 2017 (USA)
",https://www.imdb.com/title/tt3315342/
Sherlock Jr. ,45min,Action,"11 May 1924 (USA)
",https://www.imdb.com/title/tt0015324/
The Handmaiden ,2h 25min,Drama,"1 June 2016 (South Korea)
",https://www.imdb.com/title/tt4016934/
Room ,1h 58min,Drama,"22 January 2016 (USA)
",https://www.imdb.com/title/tt3170832/
The Invisible Guest ,1h 46min,Crime,"6 January 2017 (Spain)
",https://www.imdb.com/title/tt4857264/
Portrait of a Lady on Fire ,2h 2min,Drama,"14 February 2020 (USA)
",https://www.imdb.com/title/tt8613070/
The Treasure of the Sierra Madre ,2h 6min,Adventure,"24 January 1948 (USA)
",https://www.imdb.com/title/tt0040897/
The Gold Rush ,1h 35min,Adventure,"13 July 1925 (Brazil)
",https://www.imdb.com/title/tt0015864/
All About Eve ,2h 18min,Drama,"27 October 1950 (USA)
",https://www.imdb.com/title/tt0042192/
Rififi ,1h 58min,Crime,"5 June 1956 (USA)
",https://www.imdb.com/title/tt0048021/
The Seventh Seal ,1h 36min,Drama,"13 October 1958 (USA)
",https://www.imdb.com/title/tt0050976/
Rashomon ,1h 28min,Crime,"26 December 1951 (USA)
",https://www.imdb.com/title/tt0042876/
Dial M for Murder ,1h 45min,Crime,"29 May 1954 (USA)
",https://www.imdb.com/title/tt0046912/
